model,accuracy,precision,recall,f1,roc_auc,pr_auc
Random Forest,0.775,0.6190476190476191,0.65,0.6341463414634146,0.8107142857142857,0.6760518526023268
Logistic Regression,0.735,0.5402298850574713,0.7833333333333333,0.6394557823129252,0.794404761904762,0.6193543123357441
Extra Trees,0.775,0.6923076923076923,0.45,0.5454545454545454,0.7936904761904762,0.6105247341851398
Hist Gradient Boosting,0.765,0.6181818181818182,0.5666666666666667,0.591304347826087,0.7730952380952381,0.631094740742931
